S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,SHASHANK MANI,Bharatiya Janata Party,503509,1032,504541,48.36
2.0,AKHILESH PRATAP SINGH,Indian National Congress,467946,1753,469699,45.02
3.0,SANDESH,Bahujan Samaj Party,45446,118,45564,4.37
4.0,SATENDER KUMAR MALL,Independent,4149,9,4158,0.4
5.0,MUKTINATH SINGH,Janta Samta Party,3261,3,3264,0.31
6.0,AGAMSWAROOP,Rashtriya Samanta Dal,3180,2,3182,0.3
7.0,RAFIK ANSARI,Independent,2687,1,2688,0.26
8.0,NOTA,None of the Above,10203,9,10212,0.98
,Total,,1040381,2927,1043308,
