S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,KHAN SAUMITRA,Bharatiya Janata Party,677320,2810,680130,44.93
2.0,SUJATA MONDAL,All India Trinamool Congress,671148,3415,674563,44.56
3.0,SITAL CHANDRA KAIBARTYA,Communist Party of India (Marxist),104895,516,105411,6.96
4.0,SADANANDA MANDAL,Socialist Unity Centre Of India (COMMUNIST),16046,28,16074,1.06
5.0,JOYDEV DHANK,Bahujan Samaj Party,9027,52,9079,0.6
6.0,BASUDEB SIKARI,Independent,5093,13,5106,0.34
7.0,NARENDRANATH RAY,Independent,4360,17,4377,0.29
8.0,NOTA,None of the Above,19062,70,19132,1.26
,Total,,1506951,6921,1513872,
