S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,VE VAITHILINGAM,Indian National Congress,424292,1713,426005,52.73
2.0,A NAMASSIVAYAM,Bharatiya Janata Party,288050,1439,289489,35.83
3.0,R MENAGA,Naam Tamilar Katchi,39545,58,39603,4.9
4.0,G THAMIZHVENDAN,All India Anna Dravida Munnetra Kazhagam,25059,106,25165,3.11
5.0,P SANKARAN,Socialist Unity Centre Of India (COMMUNIST),2057,9,2066,0.26
6.0,ARADADI POSIYYA,Independent,1540,6,1546,0.19
7.0,D ALANGARAVELU,Bahujan Samaj Party,1534,6,1540,0.19
8.0,K KISHORKUMAR,Independent,1240,6,1246,0.15
9.0,KOLLANJIAPPAN,Independent,1198,1,1199,0.15
10.0,M MANIKANDAN,Independent,1130,3,1133,0.14
11.0,M KRISHNAMURTHY,Independent,1052,19,1071,0.13
12.0,K PRABHU DEVAN,United Republican Party of India,981,8,989,0.12
13.0,S BAKTHAVATCHALAM,Independent,923,1,924,0.11
14.0,S SATHISH KUMAR,Independent,842,4,846,0.1
15.0,COUTTANE ALIAS DHIVANEEDHE,Independent,819,3,822,0.1
16.0,E ANANTHAVEL,Independent,771,5,776,0.1
17.0,S KALA,Independent,593,33,626,0.08
18.0,P RAJAN,Independent,545,2,547,0.07
19.0,NIRMALA G,Independent,474,1,475,0.06
20.0,K ARUNACHALAM,Independent,403,2,405,0.05
21.0,K RAMADASS,Independent,368,4,372,0.05
22.0,R RAJA,Independent,326,5,331,0.04
23.0,D RAVINDIRAN,Independent,305,2,307,0.04
24.0,S MASCO,Independent,248,6,254,0.03
25.0,V P MANICKAM,Independent,242,2,244,0.03
26.0,M MURUGAN,Independent,196,-,196,0.02
27.0,NOTA,None of the Above,9756,7,9763,1.21
,Total,,804489,3451,807940,
