Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency
LALA RAM SAROJ,Prabuddhwadi Bahujan Morcha,1043.0,9,1052.0,0.1,Uttar Pradesh,Phulpur
PRAMOD BHAI PATEL URF P K,Sardar Patel Siddhant Party,947.0,1,948.0,0.09,Uttar Pradesh,Phulpur
NOTA,None of the Above,5445.0,15,5460.0,0.54,Uttar Pradesh,Phulpur
JITIN PRASADA,Bharatiya Janata Party,605199.0,1959,607158.0,52.3,Uttar Pradesh,Pilibhit
BHAGWAT SARAN GANGWAR,Samajwadi Party,439735.0,2488,442223.0,38.09,Uttar Pradesh,Pilibhit
ANIS AHMED KHAN (PHOOL BABU),Bahujan Samaj Party,89252.0,445,89697.0,7.73,Uttar Pradesh,Pilibhit
RAJEEV KUMAR SAXENA,Bhartiya Krishak Dal,3800.0,9,3809.0,0.33,Uttar Pradesh,Pilibhit
SUSHIL KUMAR SHUKLA,Independent,2723.0,4,2727.0,0.23,Uttar Pradesh,Pilibhit
MOHMMAD SHAHID HUSAIN,Independent,1842.0,4,1846.0,0.16,Uttar Pradesh,Pilibhit
ASHISH KUMAR,Independent,1842.0,8,1850.0,0.16,Uttar Pradesh,Pilibhit
ADARSH PANDEY,Independent,1714.0,12,1726.0,0.15,Uttar Pradesh,Pilibhit
SANJAY KUMAR BHARTI,Rashtriya Samaj Dal (R),1621.0,10,1631.0,0.14,Uttar Pradesh,Pilibhit
PRAMOD BHAI PATEL ALIAS P.K.,Independent,1525.0,14,1539.0,0.13,Uttar Pradesh,Pilibhit
NOTA,None of the Above,6714.0,27,6741.0,0.58,Uttar Pradesh,Pilibhit
SHIV PAL SINGH PATEL (DR. S P SINGH),Samajwadi Party,439836.0,2096,441932.0,46.65,Uttar Pradesh,Pratapgarh
SANGAM LAL GUPTA,Bharatiya Janata Party,374208.0,1518,375726.0,39.66,Uttar Pradesh,Pratapgarh
PRATHMESH MISHRA 'SENANI',Bahujan Samaj Party,79872.0,272,80144.0,8.46,Uttar Pradesh,Pratapgarh
SANDEEP SINGH,National Jan Dal,5270.0,16,5286.0,0.56,Uttar Pradesh,Pratapgarh
ARUN KUMAR PANDEY,Hindustan Samaj Party,4984.0,7,4991.0,0.53,Uttar Pradesh,Pratapgarh
