Candidate,Party,Total Votes,Postal Votes,EVM Votes,% of Votes,State,Constituency
CHARANJIT SINGH CHANNI,Indian National Congress,390053.0,544,389509.0,39.43,Punjab,Jalandhar
NARAYAN DAS AHIRWAR,Samajwadi Party,530180.0,736,529444.0,46.96,Uttar Pradesh,Jalaun
SMITA UDAY WAGH,Bharatiya Janata Party,674428.0,2309,672119.0,57.67,Maharashtra,Jalgaon
KALYAN VAIJINATHRAO KALE,Indian National Congress,607897.0,2393,605504.0,44.59,Maharashtra,Jalna
DR JAYANTA KUMAR ROY,Bharatiya Janata Party,766568.0,3332,763236.0,48.57,West Bengal,Jalpaiguri
POONAMBEN HEMATBHAI MAADAM,Bharatiya Janata Party,620049.0,1929,618120.0,58.98,Gujarat,Jamnagar
BIDYUT BARAN MAHATO,Bharatiya Janata Party,726174.0,6283,719891.0,56.84,Jharkhand,Jamshedpur
ARUN BHARTI,Lok Janshakti Party(Ram Vilas),509046.0,867,508179.0,51.98,Bihar,Jamui
KHALILUR RAHAMAN,All India Trinamool Congress,544427.0,978,543449.0,39.75,West Bengal,Jangipur
BABU SINGH KUSHWAHA,Samajwadi Party,509130.0,3054,506076.0,46.21,Uttar Pradesh,Jaunpur
RAMPRIT MANDAL,Janata Dal (United),533032.0,894,532138.0,48.73,Bihar,Jhanjharpur
ANURAG SHARMA,Bharatiya Janata Party,690316.0,878,689438.0,50.0,Uttar Pradesh,Jhansi
KALIPADA SAREN (KHERWAL),All India Trinamool Congress,743478.0,3346,740132.0,49.87,West Bengal,Jhargram
GAURAV GOGOI,Indian National Congress,751771.0,8577,743194.0,54.04,Assam,Jorhat
PRATIMA MONDAL,All India Trinamool Congress,894312.0,3259,891053.0,60.32,West Bengal,Joynagar
CHUDASAMA RAJESHBHAI NARANBHAI,Bharatiya Janata Party,584049.0,5533,578516.0,54.67,Gujarat,Junagadh
MALAIYARASAN D,Dravida Munnetra Kazhagam,561589.0,3243,558346.0,44.94,Tamil Nadu,KALLAKURICHI
SELVAM. G,Dravida Munnetra Kazhagam,586044.0,3066,582978.0,46.53,Tamil Nadu,KANCHEEPURAM
DR RAJEEV BHARDWAJ,Bharatiya Janata Party,632793.0,10311,622482.0,61.03,Himachal Pradesh,KANGRA
BHOJRAJ NAG,Bharatiya Janata Party,597624.0,2439,595185.0,47.23,Chhattisgarh,KANKER
VIJAYAKUMAR (Alias) VIJAY VASANTH,Indian National Congress,546248.0,5981,540267.0,53.08,Tamil Nadu,KANNIYAKUMARI
BHAJAN LAL JATAV,Indian National Congress,530011.0,4632,525379.0,53.64,Rajasthan,KARAULI-DHOLPUR
MANOHAR LAL,Bharatiya Janata Party,739285.0,2003,737282.0,54.93,Haryana,KARNAL
JOTHIMANI. S,Indian National Congress,534906.0,3077,531829.0,47.25,Tamil Nadu,KARUR
VISHNU DATT SHARMA (V.D.SHARMA),Bharatiya Janata Party,772774.0,1760,771014.0,67.75,Madhya Pradesh,KHAJURAHO
GYANESHWAR PATIL,Bharatiya Janata Party,862679.0,1491,861188.0,57.04,Madhya Pradesh,KHANDWA
GAJENDRA SINGH PATEL,Bharatiya Janata Party,819863.0,1572,818291.0,52.6,Madhya Pradesh,KHARGONE
JYOTSNA CHARANDAS MAHANT,Indian National Congress,570182.0,1084,569098.0,46.53,Chhattisgarh,KORBA
OM BIRLA,Bharatiya Janata Party,750496.0,6100,744396.0,50.03,Rajasthan,KOTA
GOPINATH K,Indian National Congress,492883.0,1752,491131.0,42.27,Tamil Nadu,KRISHNAGIRI
NAVEEN JINDAL,Bharatiya Janata Party,542175.0,1498,540677.0,44.96,Haryana,KURUKSHETRA
CHAVDA VINOD LAKHAMSHI,Bharatiya Janata Party,659574.0,2595,656979.0,60.23,Gujarat,Kachchh
Y. S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,605143.0,6737,598406.0,45.78,Andhra Pradesh,Kadapa
IQRA CHOUDHARY,Samajwadi Party,528013.0,1126,526887.0,48.9,Uttar Pradesh,Kairana
KARAN BHUSHAN SINGH,Bharatiya Janata Party,571263.0,827,570436.0,53.79,Uttar Pradesh,Kaiserganj
TANGELLA UDAY SRINIVAS (TEA TIME UDAY),Janasena Party,729699.0,10728,718971.0,54.87,Andhra Pradesh,Kakinada
MALVIKA DEVI,Bharatiya Janata Party,544303.0,5768,538535.0,40.79,Odisha,Kalahandi
DR SHRIKANT EKNATH SHINDE,Shiv Sena,589636.0,1715,587921.0,56.38,Maharashtra,Kalyan
SUKANTA KUMAR PANIGRAHI,Bharatiya Janata Party,416415.0,3095,413320.0,41.8,Odisha,Kandhamal
AKHILESH YADAV,Samajwadi Party,642292.0,2085,640207.0,52.74,Uttar Pradesh,Kannauj
K. SUDHAKARAN,Indian National Congress,518524.0,6258,512266.0,48.74,Kerala,Kannur
RAMESH AWASTHI,Bharatiya Janata Party,443055.0,2446,440609.0,49.93,Uttar Pradesh,Kanpur
ADHIKARI SOUMENDU,Bharatiya Janata Party,763195.0,5289,757906.0,49.85,West Bengal,Kanthi
RAJA RAM SINGH,Communist Party of India (Marxist-Leninist) (Liberation),380581.0,1659,378922.0,36.89,Bihar,Karakat
KRIPANATH MALLAH,Bharatiya Janata Party,545093.0,3873,541220.0,47.53,Assam,Karimganj
BANDI SANJAY KUMAR,Bharatiya Janata Party,585116.0,6289,578827.0,44.57,Telangana,Karimnagar
RAJMOHAN UNNITHAN,Indian National Congress,490659.0,3022,487637.0,44.1,Kerala,Kasaragod
TARIQ ANWAR,Indian National Congress,567092.0,2067,565025.0,48.41,Bihar,Katihar
PUSHPENDRA SAROJ,Samajwadi Party,509787.0,612,509175.0,50.51,Uttar Pradesh,Kaushambi
KAMAKHYA PRASAD TASA,Bharatiya Janata Party,897043.0,4277,892766.0,55.04,Assam,Kaziranga
BAIJAYANT PANDA,Bharatiya Janata Party,615705.0,2789,612916.0,48.21,Odisha,Kendrapara
ANANTA NAYAK,Bharatiya Janata Party,573923.0,2790,571133.0,45.67,Odisha,Keonjhar
AMRITPAL SINGH,Independent,404430.0,1830,402600.0,38.62,Punjab,Khadoor Sahib
RAJESH VERMA,Lok Janshakti Party(Ram Vilas),538657.0,1326,537331.0,50.73,Bihar,Khagaria
RAMASAHAYAM RAGHURAM REDDY,Indian National Congress,766929.0,7326,759603.0,61.29,Telangana,Khammam
DEVUSINH CHAUHAN,Bharatiya Janata Party,744435.0,5826,738609.0,63.31,Gujarat,Kheda
UTKARSH VERMA 'MADHUR',Samajwadi Party,557365.0,2088,555277.0,45.94,Uttar Pradesh,Kheri
KALI CHARAN MUNDA,Indian National Congress,511647.0,7650,503997.0,54.62,Jharkhand,Khunti
MOHAMMAD JAWED,Indian National Congress,402850.0,380,402470.0,35.0,Bihar,Kishanganj
ANNPURNA DEVI,Bharatiya Janata Party,791657.0,4472,787185.0,57.79,Jharkhand,Kodarma
JOYANTA BASUMATARY,"United People’s Party, Liberal",488995.0,4314,484681.0,39.39,Assam,Kokrajhar
M. MALLESH BABU,Janata Dal (Secular),691481.0,2296,689185.0,51.02,Karnataka,Kolar
CHHATRAPATI SHAHU SHAHAJI,Indian National Congress,754522.0,4199,750323.0,54.15,Maharashtra,Kolhapur
MALA ROY,All India Trinamool Congress,615274.0,2549,612725.0,49.48,West Bengal,Kolkata Dakshin
BANDYOPADHYAY SUDIP,All India Trinamool Congress,454696.0,1519,453177.0,47.44,West Bengal,Kolkata Uttar
N K PREMACHANDRAN,Revolutionary Socialist Party,443628.0,6112,437516.0,48.45,Kerala,Kollam
K. RAJASHEKAR BASAVARAJ HITNAL,Indian National Congress,663511.0,1590,661921.0,49.93,Karnataka,Koppal
SAPTAGIRI SANKAR ULAKA,Indian National Congress,471393.0,2098,469295.0,41.03,Odisha,Koraput
ADV K FRANCIS GEORGE,Kerala Congress,364631.0,6262,358369.0,43.6,Kerala,Kottayam
M. K. RAGHAVAN,Indian National Congress,520421.0,4813,515608.0,47.74,Kerala,Kozhikode
MAHUA MOITRA,All India Trinamool Congress,628789.0,4078,624711.0,44.1,West Bengal,Krishnanagar
BASTIPATI NAGARAJU PANCHALINGALA,Telugu Desam,658914.0,8579,650335.0,49.51,Andhra Pradesh,Kurnoolu
VIJAY KUMAR DUBAY,Bharatiya Janata Party,516345.0,339,516006.0,47.79,Uttar Pradesh,Kushi Nagar
MOHMAD HANEEFA,Independent,65259.0,816,64443.0,48.15,Ladakh,Ladakh
PRADAN BARUAH,Bharatiya Janata Party,663122.0,3815,659307.0,54.75,Assam,Lakhimpur
MUHAMMED HAMDULLAH SAYEED,Indian National Congress,25726.0,321,25405.0,52.29,Lakshadweep,Lakshadweep
DAROGA PRASAD SAROJ,Samajwadi Party,439959.0,2392,437567.0,43.85,Uttar Pradesh,Lalganj
DR. KALGE SHIVAJI BANDAPPA,Indian National Congress,609021.0,1991,607030.0,49.15,Maharashtra,Latur
SUKHDEO BHAGAT,Indian National Congress,483038.0,6926,476112.0,49.95,Jharkhand,Lohardaga
RAJ NATH SINGH,Bharatiya Janata Party,612709.0,2112,610597.0,53.89,Uttar Pradesh,Lucknow
AMRINDER SINGH RAJA WARRING,Indian National Congress,322224.0,800,321424.0,30.42,Punjab,Ludhiana
VENKATESAN S,Communist Party of India (Marxist),430323.0,2122,428201.0,43.6,Tamil Nadu,MADURAI
ROOP KUMARI CHOUDHARY,Bharatiya Janata Party,703659.0,2368,701291.0,53.06,Chhattisgarh,MAHASAMUND
KANGNA RANAUT,Bharatiya Janata Party,537022.0,9559,527463.0,52.87,Himachal Pradesh,MANDI
FAGGAN SINGH KULASTE,Bharatiya Janata Party,751375.0,1614,749761.0,48.93,Madhya Pradesh,MANDLA
SUDHEER GUPTA,Bharatiya Janata Party,945761.0,3512,942249.0,65.98,Madhya Pradesh,MANDSOUR
SUDHA R,Indian National Congress,518459.0,1925,516534.0,47.67,Tamil Nadu,MAYILADUTHURAI
RICHARD VANLALHMANGAIHA,Zoram People’s Movement,208552.0,2175,206377.0,42.45,Mizoram,MIZORAM
SHIVMANGAL SINGH TOMAR,Bharatiya Janata Party,515477.0,2341,513136.0,43.41,Madhya Pradesh,MORENA
PRIYA SAROJ,Samajwadi Party,451292.0,1731,449561.0,42.57,Uttar Pradesh,Machhlishahr
BALASHOWRY VALLABHANENI,Janasena Party,724439.0,12290,712149.0,55.22,Andhra Pradesh,Machilipatnam
MOHITE-PATIL DHAIRYASHEEL RAJSINH,Nationalist Congress Party – Sharadchandra Pawar,622213.0,3647,618566.0,48.86,Maharashtra,Madha
DINESH CHANDRA YADAV,Janata Dal (United),640649.0,891,639758.0,52.96,Bihar,Madhepura
ASHOK KUMAR YADAV,Bharatiya Janata Party,553428.0,723,552705.0,53.85,Bihar,Madhubani
BALRAM NAIK PORIKA,Indian National Congress,612774.0,4269,608505.0,55.27,Telangana,Mahabubabad
"JANARDAN SINGH ""SIGRIWAL""",Bharatiya Janata Party,529533.0,1559,527974.0,52.22,Bihar,Maharajganj
PANKAJ CHAUDHARY,Bharatiya Janata Party,591310.0,823,590487.0,48.85,Uttar Pradesh,Maharajganj
ARUNA. D. K,Bharatiya Janata Party,510747.0,4000,506747.0,41.66,Telangana,Mahbubnagar
HARIBHAI PATEL,Bharatiya Janata Party,686406.0,10792,675614.0,63.74,Gujarat,Mahesana
DIMPLE YADAV,Samajwadi Party,598526.0,1816,596710.0,56.79,Uttar Pradesh,Mainpuri
E.T. MOHAMMED BASHEER,Indian Union Muslim League,644006.0,3737,640269.0,59.35,Kerala,Malappuram
ISHA KHAN CHOUDHURY,Indian National Congress,572395.0,1429,570966.0,41.79,West Bengal,Maldaha Dakshin
KHAGEN MURMU,Bharatiya Janata Party,527023.0,1914,525109.0,37.18,West Bengal,Maldaha Uttar
EATALA RAJENDER,Bharatiya Janata Party,991042.0,10330,980712.0,51.25,Telangana,Malkajgiri
H.D. KUMARASWAMY,Janata Dal (Secular),851881.0,4399,847482.0,58.34,Karnataka,Mandya
HEMAMALINI DHARMENDRA DEOL,Bharatiya Janata Party,510064.0,2529,507535.0,53.3,Uttar Pradesh,Mathura
BAPI HALDAR,All India Trinamool Congress,755731.0,3245,752486.0,50.52,West Bengal,Mathurapur
SHRIRANG APPA CHANDU BARNE,Shiv Sena,692832.0,731,692101.0,48.81,Maharashtra,Maval
KODIKUNNIL SURESH,Indian National Congress,369516.0,7307,362209.0,41.29,Kerala,Mavelikkara
NABA CHARAN MAJHI,Bharatiya Janata Party,585971.0,5392,580579.0,49.91,Odisha,Mayurbhanj
MADHAVANENI RAGHUNANDAN RAO,Bharatiya Janata Party,471217.0,7440,463777.0,33.99,Telangana,Medak
JUNE MALIAH,All India Trinamool Congress,702192.0,2630,699562.0,47.4,West Bengal,Medinipur
ARUN GOVIL,Bharatiya Janata Party,546469.0,2094,544375.0,46.21,Uttar Pradesh,Meerut
ANUPRIYA PATEL,Apna Dal (Soneylal),471631.0,765,470866.0,42.67,Uttar Pradesh,Mirzapur
ASHOK KUMAR RAWAT,Bharatiya Janata Party,475016.0,1045,473971.0,45.15,Uttar Pradesh,Misrikh
R.K. CHAUDHARY,Samajwadi Party,667869.0,1309,666560.0,48.49,Uttar Pradesh,Mohanlalganj
RUCHI VIRA,Samajwadi Party,637363.0,630,636733.0,49.67,Uttar Pradesh,Moradabad
PIYUSH GOYAL,Bharatiya Janata Party,680146.0,1695,678451.0,65.68,Maharashtra,Mumbai North
GAIKWAD VARSHA EKNATH,Indian National Congress,445545.0,1447,444098.0,48.93,Maharashtra,Mumbai North Central
SANJAY DINA PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),450937.0,2333,448604.0,48.67,Maharashtra,Mumbai North East
RAVINDRA DATTARAM WAIKAR,Shiv Sena,452644.0,1550,451094.0,47.4,Maharashtra,Mumbai North West
ARVIND GANPAT SAWANT,Shiv Sena (Uddhav Balasaheb Thackrey),395655.0,1920,393735.0,51.18,Maharashtra,Mumbai South
ANIL YESHWANT DESAI,Shiv Sena (Uddhav Balasaheb Thackrey),395138.0,1796,393342.0,49.73,Maharashtra,Mumbai South Central
RAJIV RANJAN SINGH ALIAS LALAN SINGH,Janata Dal (United),550146.0,2332,547814.0,48.3,Bihar,Munger
ABU TAHER KHAN,All India Trinamool Congress,682442.0,768,681674.0,44.27,West Bengal,Murshidabad
HARENDRA SINGH MALIK,Samajwadi Party,470721.0,917,469804.0,43.64,Uttar Pradesh,Muzaffarnagar
RAJ BHUSHAN CHOUDHARY,Bharatiya Janata Party,619749.0,1180,618569.0,55.71,Bihar,Muzaffarpur
YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,Bharatiya Janata Party,795503.0,5112,790391.0,53.59,Karnataka,Mysore
SELVARAJ V,Communist Party of India,465044.0,2285,462759.0,47.79,Tamil Nadu,NAGAPATTINAM
HANUMAN BENIWAL,Rashtriya Loktantrik Party,596955.0,5495,591460.0,48.2,Rajasthan,NAGAUR
MATHESWARAN V S,Dravida Munnetra Kazhagam,462036.0,4341,457695.0,40.31,Tamil Nadu,NAMAKKAL
RAJA A,Dravida Munnetra Kazhagam,473212.0,2483,470729.0,46.44,Tamil Nadu,NILGIRIS
BALABHADRA MAJHI,Bharatiya Janata Party,481396.0,3066,478330.0,38.74,Odisha,Nabarangpur
S SUPONGMEREN JAMIR,Indian National Congress,401951.0,2439,399512.0,52.83,Nagaland,Nagaland
PRADYUT BORDOLOI,Indian National Congress,788850.0,2230,786620.0,50.89,Assam,Nagaon
DR.MALLU RAVI,Indian National Congress,465072.0,5813,459259.0,38.14,Telangana,Nagarkurnool
CHANDRASHEKHAR,Aazad Samaj Party (Kanshi Ram),512552.0,740,511812.0,51.19,Uttar Pradesh,Nagina
NITIN JAIRAM GADKARI,Bharatiya Janata Party,655027.0,2218,652809.0,54.08,Maharashtra,Nagpur
AJAY BHATT,Bharatiya Janata Party,772671.0,6274,766397.0,61.03,Uttarakhand,Nainital-Udhamsingh Nagar
KAUSHALENDRA KUMAR,Janata Dal (United),559422.0,2368,557054.0,48.88,Bihar,Nalanda
KUNDURU RAGHUVEER,Indian National Congress,784337.0,12073,772264.0,60.5,Telangana,Nalgonda
CHAVAN VASANTRAO BALWANTRAO,Indian National Congress,528894.0,2029,526865.0,46.88,Maharashtra,Nanded
ADV GOWAAL KAGADA PADAVI,Indian National Congress,745998.0,1119,744879.0,53.53,Maharashtra,Nandurbar
DR BYREDDY SHABARI,Telugu Desam,701131.0,11714,689417.0,49.92,Andhra Pradesh,Nandyal
BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party,707343.0,7961,699382.0,57.46,Andhra Pradesh,Narsapuram
LAVU SRIKRISHNA DEVARAYALU,Telugu Desam,807996.0,9899,798097.0,53.88,Andhra Pradesh,Narsaraopet
RAJABHAU (PARAG) PRAKASH WAJE,Shiv Sena (Uddhav Balasaheb Thackrey),616729.0,2212,614517.0,49.85,Maharashtra,Nashik
C R PATIL,Bharatiya Janata Party,1031065.0,7699,1023366.0,77.05,Gujarat,Navsari
VIVEK THAKUR,Bharatiya Janata Party,410608.0,2071,408537.0,47.2,Bihar,Nawada
PRABHAKAR REDDY VEMIREDDY,Telugu Desam,766202.0,15431,750771.0,55.7,Andhra Pradesh,Nellore
BANSURI SWARAJ,Bharatiya Janata Party,453185.0,1721,451464.0,53.48,NCT OF Delhi,New Delhi
ARVIND DHARMAPURI,Bharatiya Janata Party,592318.0,4074,588244.0,48.02,Telangana,Nizamabad
SHRIPAD YESSO NAIK,Bharatiya Janata Party,257326.0,3514,253812.0,56.43,Goa,North Goa
MANOJ TIWARI,Bharatiya Janata Party,824451.0,2884,821567.0,53.1,NCT OF Delhi,North-East Delhi
YOGENDER CHANDOLIYA,Bharatiya Janata Party,866483.0,3228,863255.0,58.26,NCT OF Delhi,North-West Delhi
MAGUNTA SREENIVASULU REDDY,Telugu Desam,701894.0,12065,689829.0,49.35,Andhra Pradesh,Ongole
OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,Shiv Sena (Uddhav Balasaheb Thackrey),748752.0,5155,743597.0,58.45,Maharashtra,Osmanabad
ALFRED KANNGAM S ARTHUR,Indian National Congress,384954.0,3141,381813.0,48.32,Manipur,Outer Manipur
P. P. CHAUDHARY,Bharatiya Janata Party,757389.0,6821,750568.0,55.94,Rajasthan,PALI
ARUN NEHRU,Dravida Munnetra Kazhagam,603209.0,5206,598003.0,53.42,Tamil Nadu,PERAMBALUR
ESWARASAMY K,Dravida Munnetra Kazhagam,533377.0,2635,530742.0,47.37,Tamil Nadu,POLLACHI
VE VAITHILINGAM,Indian National Congress,426005.0,1713,424292.0,52.73,Puducherry,PUDUCHERRY
V K SREEKANDAN,Indian National Congress,421169.0,3097,418072.0,40.66,Kerala,Palakkad
VISHNU DAYAL RAM,Bharatiya Janata Party,770362.0,8072,762290.0,55.39,Jharkhand,Palamau
DR. HEMANT VISHNU SAVARA,Bharatiya Janata Party,601244.0,1036,600208.0,43.69,Maharashtra,Palghar
RAJPALSINH MAHENDRASINH JADAV,Bharatiya Janata Party,794579.0,8749,785830.0,70.22,Gujarat,Panchmahal
JADHAV SANJAY ( BANDU ) HARIBHAU,Shiv Sena (Uddhav Balasaheb Thackrey),601343.0,4472,596871.0,45.17,Maharashtra,Parbhani
DR.SANJAY JAISWAL,Bharatiya Janata Party,580421.0,1462,578959.0,53.43,Bihar,Paschim Champaran
DABHI BHARATSINHJI SHANKARJI,Bharatiya Janata Party,591947.0,6356,585591.0,49.61,Gujarat,Patan
ANTO ANTONY,Indian National Congress,367623.0,6666,360957.0,39.98,Kerala,Pathanamthitta
DR DHARAMVIRA GANDHI,Indian National Congress,305616.0,944,304672.0,26.54,Punjab,Patiala
MISHA BHARTI,Rashtriya Janata Dal,613283.0,1136,612147.0,49.86,Bihar,Patliputra
RAVI SHANKAR PRASAD,Bharatiya Janata Party,588270.0,1058,587212.0,54.7,Bihar,Patna Sahib
VAMSI KRISHNA GADDAM,Indian National Congress,475587.0,5407,470180.0,43.42,Telangana,Peddapalle
PRAVEEN PATEL,Bharatiya Janata Party,452600.0,1220,451380.0,44.6,Uttar Pradesh,Phulpur
JITIN PRASADA,Bharatiya Janata Party,607158.0,1959,605199.0,52.3,Uttar Pradesh,Pilibhit
DR. M.P ABDUSSAMAD SAMADANI,Indian Union Muslim League,562516.0,2946,559570.0,54.81,Kerala,Ponnani
DR. MANSUKH MANDAVIYA,Bharatiya Janata Party,633118.0,7156,625962.0,68.15,Gujarat,Porbandar
SHIV PAL SINGH PATEL (DR. S P SINGH),Samajwadi Party,441932.0,2096,439836.0,46.65,Uttar Pradesh,Pratapgarh
MURLIDHAR MOHOL,Bharatiya Janata Party,584728.0,557,584171.0,52.94,Maharashtra,Pune
SAMBIT PATRA,Bharatiya Janata Party,629330.0,3958,625372.0,52.58,Odisha,Puri
RAJESH RANJAN ALIAS PAPPU YADAV,Independent,567556.0,689,566867.0,47.46,Bihar,Purnia
JYOTIRMAY SINGH MAHATO,Bharatiya Janata Party,578489.0,2243,576246.0,40.34,West Bengal,Purulia
RADHA MOHAN SINGH,Bharatiya Janata Party,542193.0,1595,540598.0,50.5,Bihar,Purvi Champaran
RADHESHYAM RATHIYA,Bharatiya Janata Party,808275.0,1608,806667.0,55.63,Chhattisgarh,RAIGARH
BRIJMOHAN AGRAWAL,Bharatiya Janata Party,1050351.0,2904,1047447.0,66.19,Chhattisgarh,RAIPUR
RODMAL NAGAR,Bharatiya Janata Party,758743.0,2604,756139.0,53.1,Madhya Pradesh,RAJGARH
SANTOSH PANDEY,Bharatiya Janata Party,712057.0,618,711439.0,49.25,Chhattisgarh,RAJNANDGAON
MAHIMA KUMARI MEWAR,Bharatiya Janata Party,781203.0,5960,775243.0,64.4,Rajasthan,RAJSAMAND
NAVASKANI K,Indian Union Muslim League,509664.0,2974,506690.0,45.92,Tamil Nadu,RAMANATHAPURAM
ANITA NAGARSINGH CHOUHAN,Bharatiya Janata Party,795863.0,2431,793432.0,51.93,Madhya Pradesh,RATLAM
JANARDAN MISHRA,Bharatiya Janata Party,477459.0,2020,475439.0,52.0,Madhya Pradesh,REWA
DEEPENDER SINGH HOODA,Indian National Congress,783578.0,5319,778259.0,62.76,Haryana,ROHTAK
RAHUL GANDHI,Indian National Congress,687649.0,1605,686044.0,66.17,Uttar Pradesh,Rae Bareli
G. KUMAR NAIK.,Indian National Congress,670966.0,1553,669413.0,51.63,Karnataka,Raichur
TATKARE SUNIL DATTATREY,Nationalist Congress Party,508352.0,1823,506529.0,50.17,Maharashtra,Raigad
KARTICK CHANDRA PAUL,Bharatiya Janata Party,560897.0,2253,558644.0,40.99,West Bengal,Raiganj
DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party,726515.0,7874,718641.0,54.82,Andhra Pradesh,Rajahmundry
P V MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,644844.0,5733,639111.0,48.38,Andhra Pradesh,Rajampet
PARSHOTTAMBHAI RUPALA,Bharatiya Janata Party,857984.0,7138,850846.0,67.37,Gujarat,Rajkot
VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha,613371.0,6078,607293.0,50.35,Jharkhand,Rajmahal
MOHIBBULLAH,Samajwadi Party,481503.0,251,481252.0,49.74,Uttar Pradesh,Rampur
Shyamkumar (Babalu) Daulat Barve,Indian National Congress,613025.0,1131,611894.0,48.94,Maharashtra,Ramtek
JAGANNATH SARKAR,Bharatiya Janata Party,782396.0,4350,778046.0,50.78,West Bengal,Ranaghat
SANJAY SETH,Bharatiya Janata Party,664732.0,5757,658975.0,45.91,Jharkhand,Ranchi
NARAYAN TATU RANE,Bharatiya Janata Party,448514.0,3175,445339.0,49.07,Maharashtra,Ratnagiri- Sindhudurg
KHADSE RAKSHA NIKHIL,Bharatiya Janata Party,630879.0,1321,629558.0,53.84,Maharashtra,Raver
CHHOTELAL,Samajwadi Party,465848.0,608,465240.0,46.14,Uttar Pradesh,Robertsganj
DR. LATA WANKHEDE,Bharatiya Janata Party,787979.0,1819,786160.0,68.49,Madhya Pradesh,SAGAR
SELVAGANAPATHI T M,Dravida Munnetra Kazhagam,566085.0,4063,562022.0,43.38,Tamil Nadu,SALEM
GANESH SINGH,Bharatiya Janata Party,459728.0,1355,458373.0,43.41,Madhya Pradesh,SATNA
SMT. HIMADRI SINGH,Bharatiya Janata Party,711143.0,1666,709477.0,61.73,Madhya Pradesh,SHAHDOL
Suresh Kumar Kashyap,Bharatiya Janata Party,519748.0,5812,513936.0,53.58,Himachal Pradesh,SHIMLA
DR. RAJESH MISHRA,Bharatiya Janata Party,583559.0,895,582664.0,50.87,Madhya Pradesh,SIDHI
AMRARAM,Communist Party of India (Marxist),659300.0,13741,645559.0,50.68,Rajasthan,SIKAR
SELJA,Indian National Congress,733823.0,1525,732298.0,54.17,Haryana,SIRSA
KARTI P CHIDAMBARAM,Indian National Congress,427677.0,2046,425631.0,40.6,Tamil Nadu,SIVAGANGA
SATPAL BRAHAMCHARI,Indian National Congress,548682.0,2519,546163.0,48.82,Haryana,SONIPAT
AGA SYED RUHULLAH MEHDI,Jammu & Kashmir National Conference,356866.0,1572,355294.0,52.85,Jammu and Kashmir,SRINAGAR
T R BAALU,Dravida Munnetra Kazhagam,758611.0,2940,755671.0,52.65,Tamil Nadu,SRIPERUMBUDUR
CHINTAMANI MAHARAJ,Bharatiya Janata Party,713200.0,1028,712172.0,49.01,Chhattisgarh,SURGUJA
SHOBHANABEN MAHENDRASINH BARAIYA,Bharatiya Janata Party,677318.0,6389,670929.0,53.36,Gujarat,Sabarkantha
IMRAN MASOOD,Indian National Congress,547967.0,584,547383.0,44.57,Uttar Pradesh,Saharanpur
RAMASHANKAR RAJBHAR,Samajwadi Party,405472.0,1856,403616.0,44.2,Uttar Pradesh,Salempur
SHAMBHAVI,Lok Janshakti Party(Ram Vilas),579786.0,691,579095.0,52.97,Bihar,Samastipur
DHARMENDRA PRADHAN,Bharatiya Janata Party,592162.0,4335,587827.0,49.48,Odisha,Sambalpur
ZIA UR REHMAN,Samajwadi Party,571161.0,416,570745.0,47.8,Uttar Pradesh,Sambhal
VISHAL (DADA) PRAKASHBAPU PATIL,Independent,571666.0,2015,569651.0,48.91,Maharashtra,Sangli
GURMEET SINGH MEET HAYER,Aam Aadmi Party,364085.0,1294,362791.0,36.06,Punjab,Sangrur
LAXMIKANT PAPPU NISHAD,Samajwadi Party,498695.0,1207,497488.0,45.7,Uttar Pradesh,Sant Kabir Nagar
RAJIV PRATAP RUDY,Bharatiya Janata Party,471752.0,1518,470234.0,46.18,Bihar,Saran
MANOJ KUMAR,Indian National Congress,513004.0,3027,509977.0,46.76,Bihar,Sasaram
SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,Bharatiya Janata Party,571134.0,2385,568749.0,47.67,Maharashtra,Satara
G. KISHAN REDDY,Bharatiya Janata Party,473012.0,4701,468311.0,45.15,Telangana,Secunderabad
ARUN KUMAR SAGAR,Bharatiya Janata Party,592718.0,1218,591500.0,47.5,Uttar Pradesh,Shahjahanpur
LOVELY ANAND,Janata Dal (United),476612.0,903,475709.0,45.15,Bihar,Sheohar
DR. RICKY ANDREW J. SYNGKON,Voice of the People Party,571078.0,1922,569156.0,55.02,Meghalaya,Shillong
B.Y.RAGHAVENDRA,Bharatiya Janata Party,778721.0,2990,775731.0,56.54,Karnataka,Shimoga
BHAUSAHEB RAJARAM WAKCHAURE,Shiv Sena (Uddhav Balasaheb Thackrey),476900.0,1263,475637.0,45.0,Maharashtra,Shirdi
DR. AMOL RAMSING KOLHE,Nationalist Congress Party – Sharadchandra Pawar,698692.0,924,697768.0,50.83,Maharashtra,Shirur
RAM SHIROMANI VERMA,Samajwadi Party,511055.0,301,510754.0,48.83,Uttar Pradesh,Shrawasti
